token	total	files	properties
--color-lit-ld-022e6f16	17	frontend/src/ui/layout/Panel.css(7), frontend/src/pages/StorybookPage.css(2), frontend/src/ui/primitives/SearchInput.css(2), frontend/src/ui/primitives/RelativeTimestamp.css(2)	color(17)
--color-lit-ld-15d73b5f	12	frontend/src/ui/layout/Panel.css(10), frontend/src/ui/primitives/Table.css(2)	border-right(5), border-bottom(3), border-top(2), border(1)
--color-lit-ld-b19fa9e1	9	frontend/src/ui/layout/Panel.css(4), frontend/src/ui/primitives/ActionButton.css(2), frontend/src/pages/StorybookPage.css(1), frontend/src/ui/primitives/Badge.css(1)	border(7), border-color(1), background(1)
--color-lit-ld-51056ffa	6	frontend/src/pages/StorybookPage.css(3), frontend/src/ui/primitives/Table.css(1), frontend/src/ui/primitives/Slider.css(1), frontend/src/ui/layout/Section.css(1)	background(6)
--color-lit-ld-6cbed306	6	frontend/src/ui/primitives/Badge.css(2), frontend/src/ui/primitives/DurationDisplay.css(2), frontend/src/ui/primitives/Menu.css(1), frontend/src/ui/primitives/RelativeTimestamp.css(1)	color(6)
--color-lit-ld-7ae19c32	5	frontend/src/ui/layout/Panel.css(4), frontend/src/ui/primitives/SearchInput.css(1)	color(5)
--color-lit-ld-95d51f9e	5	frontend/src/ui/primitives/ActionButton.css(2), frontend/src/ui/primitives/SegmentedGroup.css(1), frontend/src/ui/primitives/SearchInput.css(1), frontend/src/ui/primitives/Checkbox.css(1)	color(3), background(2)
--color-lit-ld-cd269152	5	frontend/src/ui/primitives/Checkbox.css(2), frontend/src/ui/primitives/Menu.css(1), frontend/src/ui/primitives/Select.css(1), frontend/src/ui/primitives/FilterMenu.css(1)	border-color(5)
--color-lit-ld-d376042d	5	frontend/src/pages/StorybookPage.css(3), frontend/src/ui/primitives/Slider.css(1), frontend/src/ui/layout/Section.css(1)	border(5)
--color-lit-ld-d791833b	5	frontend/src/ui/primitives/DurationDisplay.css(2), frontend/src/components/AppHeader.css(1), frontend/src/ui/primitives/Badge.css(1), frontend/src/ui/primitives/RelativeTimestamp.css(1)	color(5)
--color-lit-ld-015826c9	4	frontend/src/components/graph/GraphNode.css(2), frontend/src/components/AppHeader.css(1), frontend/src/components/inspector/InspectorPanel.css(1)	background(2), --graph-card-border-color(1), color(1)
--color-lit-ld-5dc74775	4	frontend/src/ui/layout/Panel.css(3), frontend/src/ui/primitives/SearchInput.css(1)	background(4)
--color-lit-ld-92f287c6	4	frontend/src/ui/primitives/SearchInput.css(2), frontend/src/ui/layout/Panel.css(1), frontend/src/ui/layout/Section.css(1)	color(4)
--color-lit-ld-d59cb2c4	4	frontend/src/ui/primitives/DurationDisplay.css(2), frontend/src/ui/primitives/Badge.css(1), frontend/src/ui/primitives/RelativeTimestamp.css(1)	color(4)
--color-lit-ld-3349dec3	3	frontend/src/components/graph/GraphNode.css(2), frontend/src/components/inspector/InspectorPanel.css(1)	--graph-card-border-color(1), color(1), background(1)
--color-lit-ld-6dca8202	3	frontend/src/components/graph/GraphNode.css(2), frontend/src/components/inspector/InspectorPanel.css(1)	color(2), --graph-card-border-color(1)
--color-lit-ld-84038782	3	frontend/src/ui/primitives/ActionButton.css(1), frontend/src/ui/primitives/TextInput.css(1), frontend/src/ui/primitives/Slider.css(1)	box-shadow(2), (non-decl)(1)
--color-lit-ld-c35dc65d	3	frontend/src/ui/primitives/Menu.css(1), frontend/src/ui/primitives/Select.css(1), frontend/src/ui/primitives/FilterMenu.css(1)	box-shadow(3)
--color-lit-ld-c66cb479	3	frontend/src/components/AppHeader.css(3)	color(3)
--color-lit-ld-d7770536	3	frontend/src/ui/layout/Panel.css(3)	background(3)
--color-lit-ld-0db1eab7	2	frontend/src/ui/primitives/ActionButton.css(2)	box-shadow(2)
--color-lit-ld-12321db7	2	frontend/src/components/inspector/InspectorPanel.css(2)	--inspector-accent(2)
--color-lit-ld-43da4eab	2	frontend/src/ui/primitives/ActionButton.css(1), frontend/src/ui/primitives/TextInput.css(1)	border-color(2)
--color-lit-ld-4ed2e9cc	2	frontend/src/ui/primitives/FilterMenu.css(2)	border-color(2)
--color-lit-ld-51fce81c	2	frontend/src/components/graph/GraphNode.css(1), frontend/src/styles.css(1)	outline(1), --accent(1)
--color-lit-ld-5773bd0f	2	frontend/src/components/AppHeader.css(2)	color(2)
--color-lit-ld-6d678c8a	2	frontend/src/components/timeline/RecordingTimeline.css(1), frontend/src/components/inspector/InspectorPanel.css(1)	color(2)
--color-lit-ld-7633e6e6	2	frontend/src/ui/primitives/Badge.css(2)	background(2)
--color-lit-ld-7f698312	2	frontend/src/components/AppHeader.css(2)	background(2)
--color-lit-ld-81a50f4f	2	frontend/src/ui/primitives/SearchInput.css(2)	border(2)
--color-lit-ld-849f65eb	2	frontend/src/components/AppHeader.css(1), frontend/src/ui/primitives/Badge.css(1)	background(2)
--color-lit-ld-8991f946	2	frontend/src/ui/primitives/SearchInput.css(2)	background(2)
--color-lit-ld-99b6b468	2	frontend/src/ui/primitives/Slider.css(2)	box-shadow(1), (non-decl)(1)
--color-lit-ld-b7ce6de6	2	frontend/src/ui/primitives/Slider.css(2)	background(2)
--color-lit-ld-c4249a52	2	frontend/src/components/inspector/InspectorPanel.css(2)	color(2)
--color-lit-ld-d02e27bf	2	frontend/src/ui/primitives/Table.css(1), frontend/src/ui/layout/Section.css(1)	color(2)
--color-lit-ld-f1f03f1f	2	frontend/src/components/AppHeader.css(2)	background(2)
--color-lit-ld-f79617f4	2	frontend/src/ui/layout/Panel.css(1), frontend/src/ui/layout/SplitLayout.css(1)	background(2)
--color-lit-ld-f806fcd3	2	frontend/src/components/AppHeader.css(1), frontend/src/components/inspector/InspectorPanel.css(1)	color(2)
--color-lit-ld-f8edd360	2	frontend/src/pages/StorybookPage.css(2)	border(2)
--color-lit-hex-c659d630	1	frontend/src/ui/primitives/Checkbox.css(1)	color(1)
--color-lit-ld-02303704	1	frontend/src/components/graph/GraphNode.css(1)	--graph-card-bg(1)
--color-lit-ld-0383b9fd	1	frontend/src/pages/StorybookPage.css(1)	border(1)
--color-lit-ld-06c11a7f	1	frontend/src/ui/primitives/ActionButton.css(1)	background(1)
--color-lit-ld-07faeaef	1	frontend/src/ui/primitives/ActionButton.css(1)	color(1)
--color-lit-ld-0880f0f3	1	frontend/src/components/inspector/InspectorPanel.css(1)	border(1)
--color-lit-ld-116e270d	1	frontend/src/ui/primitives/Table.css(1)	background(1)
--color-lit-ld-12b08fe8	1	frontend/src/ui/primitives/SegmentedGroup.css(1)	background(1)
--color-lit-ld-161340fa	1	frontend/src/ui/primitives/SearchInput.css(1)	background(1)
--color-lit-ld-183c652b	1	frontend/src/ui/primitives/Slider.css(1)	color(1)
--color-lit-ld-1d3a9f81	1	frontend/src/components/inspector/InspectorPanel.css(1)	background(1)
--color-lit-ld-200ac160	1	frontend/src/pages/StorybookPage.css(1)	background(1)
--color-lit-ld-22827e06	1	frontend/src/components/inspector/MetaTree.css(1)	color(1)
--color-lit-ld-2626dd6d	1	frontend/src/pages/StorybookPage.css(1)	background(1)
--color-lit-ld-26589d81	1	frontend/src/ui/primitives/SearchInput.css(1)	border-color(1)
--color-lit-ld-2855e449	1	frontend/src/components/ProcessModal.css(1)	box-shadow(1)
--color-lit-ld-28a0fa01	1	frontend/src/ui/primitives/SegmentedGroup.css(1)	background(1)
--color-lit-ld-2b3eb2c7	1	frontend/src/components/inspector/MetaTree.css(1)	color(1)
--color-lit-ld-2ce0cfa6	1	frontend/src/ui/primitives/SegmentedGroup.css(1)	background(1)
--color-lit-ld-32c3966d	1	frontend/src/ui/primitives/ActionButton.css(1)	background(1)
--color-lit-ld-340243a2	1	frontend/src/ui/primitives/DurationDisplay.css(1)	background(1)
--color-lit-ld-343ee702	1	frontend/src/ui/layout/SplitLayout.css(1)	background(1)
--color-lit-ld-35d6ab5b	1	frontend/src/ui/primitives/SegmentedGroup.css(1)	box-shadow(1)
--color-lit-ld-374928ee	1	frontend/src/ui/layout/Panel.css(1)	border(1)
--color-lit-ld-37e0d2d6	1	frontend/src/ui/primitives/Switch.css(1)	border(1)
--color-lit-ld-3a6bb49e	1	frontend/src/components/inspector/InspectorPanel.css(1)	border(1)
--color-lit-ld-3c7625d3	1	frontend/src/ui/primitives/ActionButton.css(1)	background(1)
--color-lit-ld-3de56276	1	frontend/src/components/inspector/InspectorPanel.css(1)	background(1)
--color-lit-ld-42159785	1	frontend/src/ui/primitives/Table.css(1)	background(1)
--color-lit-ld-44f734a5	1	frontend/src/ui/primitives/Switch.css(1)	background(1)
--color-lit-ld-46835aa1	1	frontend/src/components/inspector/InspectorPanel.css(1)	background(1)
--color-lit-ld-4cca04e9	1	frontend/src/ui/primitives/ActionButton.css(1)	background(1)
--color-lit-ld-5445a1d2	1	frontend/src/components/inspector/InspectorPanel.css(1)	background(1)
--color-lit-ld-5a965613	1	frontend/src/components/inspector/InspectorPanel.css(1)	(non-decl)(1)
--color-lit-ld-5e4ee9ae	1	frontend/src/components/ProcessModal.css(1)	background(1)
--color-lit-ld-5f7a3f7f	1	frontend/src/components/timeline/RecordingTimeline.css(1)	accent-color(1)
--color-lit-ld-61ee0df4	1	frontend/src/ui/primitives/Table.css(1)	border-bottom(1)
--color-lit-ld-66745883	1	frontend/src/components/inspector/MetaTree.css(1)	color(1)
--color-lit-ld-69b98e4c	1	frontend/src/ui/primitives/Table.css(1)	background(1)
--color-lit-ld-6cafcd1f	1	frontend/src/ui/primitives/ActionButton.css(1)	border-color(1)
--color-lit-ld-709a39ce	1	frontend/src/components/inspector/InspectorPanel.css(1)	color(1)
--color-lit-ld-7728073e	1	frontend/src/components/inspector/InspectorPanel.css(1)	background(1)
--color-lit-ld-77822b96	1	frontend/src/components/inspector/InspectorPanel.css(1)	(non-decl)(1)
--color-lit-ld-7994bf51	1	frontend/src/ui/primitives/Switch.css(1)	box-shadow(1)
--color-lit-ld-7ae95182	1	frontend/src/components/inspector/InspectorPanel.css(1)	background(1)
--color-lit-ld-7ae96ce2	1	frontend/src/components/inspector/InspectorPanel.css(1)	--inspector-accent(1)
--color-lit-ld-7af67c48	1	frontend/src/ui/layout/Panel.css(1)	(non-decl)(1)
--color-lit-ld-7e87d777	1	frontend/src/ui/primitives/FilterMenu.css(1)	background(1)
--color-lit-ld-7f43213b	1	frontend/src/ui/primitives/Slider.css(1)	background(1)
--color-lit-ld-835d53d9	1	frontend/src/ui/primitives/ProcessIdenticon.css(1)	background(1)
--color-lit-ld-8518efd4	1	frontend/src/ui/layout/Section.css(1)	background(1)
--color-lit-ld-882d8bab	1	frontend/src/ui/primitives/DurationDisplay.css(1)	background(1)
--color-lit-ld-88346e28	1	frontend/src/components/inspector/InspectorPanel.css(1)	background(1)
--color-lit-ld-8b6f0f16	1	frontend/src/ui/primitives/NodeChip.css(1)	background(1)
--color-lit-ld-8be61a2f	1	frontend/src/components/inspector/InspectorPanel.css(1)	background(1)
--color-lit-ld-914869d9	1	frontend/src/pages/StorybookPage.css(1)	background(1)
--color-lit-ld-918c8b8c	1	frontend/src/ui/primitives/SegmentedGroup.css(1)	color(1)
--color-lit-ld-93cf3b1b	1	frontend/src/ui/primitives/ActionButton.css(1)	background(1)
--color-lit-ld-93d22309	1	frontend/src/ui/primitives/SearchInput.css(1)	background(1)
--color-lit-ld-946626bc	1	frontend/src/components/inspector/InspectorPanel.css(1)	background(1)
--color-lit-ld-95eb8c4a	1	frontend/src/ui/layout/Panel.css(1)	background(1)
--color-lit-ld-9787e7fe	1	frontend/src/ui/primitives/TextInput.css(1)	background(1)
--color-lit-ld-97e3522c	1	frontend/src/ui/primitives/Switch.css(1)	border-color(1)
--color-lit-ld-98c02837	1	frontend/src/ui/layout/Panel.css(1)	border-color(1)
--color-lit-ld-991d26eb	1	frontend/src/ui/primitives/Switch.css(1)	background(1)
--color-lit-ld-99ee6cee	1	frontend/src/components/inspector/InspectorPanel.css(1)	(non-decl)(1)
--color-lit-ld-9c0de7a9	1	frontend/src/ui/primitives/SearchInput.css(1)	box-shadow(1)
--color-lit-ld-9f33753b	1	frontend/src/ui/primitives/SearchInput.css(1)	border(1)
--color-lit-ld-a02443ea	1	frontend/src/components/inspector/InspectorPanel.css(1)	(non-decl)(1)
--color-lit-ld-a17f1a1e	1	frontend/src/graph/canvas/GraphCanvas.css(1)	fill(1)
--color-lit-ld-a1ef9a5a	1	frontend/src/ui/primitives/ActionButton.css(1)	color(1)
--color-lit-ld-a9342461	1	frontend/src/ui/layout/Panel.css(1)	(non-decl)(1)
--color-lit-ld-afd4576c	1	frontend/src/components/inspector/InspectorPanel.css(1)	background(1)
--color-lit-ld-b58e3fa0	1	frontend/src/components/inspector/InspectorPanel.css(1)	--inspector-lum-text-mid(1)
--color-lit-ld-b88afee4	1	frontend/src/components/AppHeader.css(1)	background(1)
--color-lit-ld-bb16a433	1	frontend/src/components/graph/ScopeGroupNode.css(1)	box-shadow(1)
--color-lit-ld-be13e965	1	frontend/src/components/inspector/InspectorPanel.css(1)	background(1)
--color-lit-ld-c4e8c683	1	frontend/src/components/inspector/InspectorPanel.css(1)	--inspector-accent(1)
--color-lit-ld-c64378ce	1	frontend/src/ui/primitives/Badge.css(1)	background(1)
--color-lit-ld-c95c958d	1	frontend/src/components/inspector/InspectorPanel.css(1)	(non-decl)(1)
--color-lit-ld-ca2a7927	1	frontend/src/components/inspector/InspectorPanel.css(1)	--inspector-lum-text-weak(1)
--color-lit-ld-cbf55c00	1	frontend/src/ui/primitives/NodeChip.css(1)	background(1)
--color-lit-ld-d03b178b	1	frontend/src/ui/layout/Section.css(1)	box-shadow(1)
--color-lit-ld-d1be9e2f	1	frontend/src/ui/primitives/FilterMenu.css(1)	color(1)
--color-lit-ld-d5e8a94a	1	frontend/src/ui/primitives/ActionButton.css(1)	background(1)
--color-lit-ld-dac83f3a	1	frontend/src/ui/primitives/Slider.css(1)	border(1)
--color-lit-ld-dd8c271e	1	frontend/src/components/inspector/InspectorPanel.css(1)	background(1)
--color-lit-ld-dfa69f43	1	frontend/src/components/inspector/InspectorPanel.css(1)	(non-decl)(1)
--color-lit-ld-e002541c	1	frontend/src/ui/primitives/Checkbox.css(1)	box-shadow(1)
--color-lit-ld-e2fd553d	1	frontend/src/ui/primitives/FilterMenu.css(1)	background(1)
--color-lit-ld-e3402a65	1	frontend/src/pages/StorybookPage.css(1)	color(1)
--color-lit-ld-e3eb2eb1	1	frontend/src/ui/primitives/FilterMenu.css(1)	box-shadow(1)
--color-lit-ld-e450a064	1	frontend/src/ui/layout/Panel.css(1)	background(1)
--color-lit-ld-eb2081fc	1	frontend/src/ui/primitives/ActionButton.css(1)	box-shadow(1)
--color-lit-ld-eca41bb9	1	frontend/src/ui/primitives/Switch.css(1)	background(1)
--color-lit-ld-edf3e31a	1	frontend/src/pages/StorybookPage.css(1)	border(1)
--color-lit-ld-eead3d40	1	frontend/src/ui/primitives/ActionButton.css(1)	box-shadow(1)
--color-lit-ld-f0711097	1	frontend/src/ui/primitives/NodeChip.css(1)	background(1)
--color-lit-ld-f118821a	1	frontend/src/components/inspector/InspectorPanel.css(1)	(non-decl)(1)
--color-lit-ld-f28addc2	1	frontend/src/ui/primitives/NodeChip.css(1)	background(1)
--color-lit-ld-f329f939	1	frontend/src/ui/layout/Panel.css(1)	background(1)
--color-lit-ld-f394e349	1	frontend/src/components/inspector/InspectorPanel.css(1)	--inspector-accent(1)
--color-lit-ld-f726ec88	1	frontend/src/components/timeline/RecordingTimeline.css(1)	border-color(1)
--color-lit-ld-f79ea81a	1	frontend/src/components/inspector/InspectorPanel.css(1)	background(1)
--color-lit-ld-fc06fffa	1	frontend/src/components/inspector/InspectorPanel.css(1)	(non-decl)(1)
--color-lit-ld-ffa8dbee	1	frontend/src/components/timeline/RecordingTimeline.css(1)	background(1)
--color-lit-rgb-05954929	1	frontend/src/ui/primitives/SearchInput.css(1)	box-shadow(1)